entity,id,cluster,x,y
http://example.org/publication-ontology#author_Arjun_Sharma,132,0,0.036456898,0.006908238
http://example.org/publication-ontology#author_Armin_Karamzade,133,2,-0.36317107,-0.051757812
http://example.org/publication-ontology#author_Arne_Hintz,134,3,0.21542919,-0.16359043
http://example.org/publication-ontology#author_Arsalan_Sharifnassab,135,2,-0.3039312,-0.038530648
http://example.org/publication-ontology#author_Arthur_Flajolet,136,2,-0.29449323,-0.004764557
http://example.org/publication-ontology#author_Arunkumar_Chinnasamy,137,2,-0.10699599,-0.008637905
http://example.org/publication-ontology#author_Asaf_Shabtai,138,3,0.162724,-0.07560384
http://example.org/publication-ontology#author_Ascanio_Rosi,139,3,0.1992442,-0.10310912
http://example.org/publication-ontology#author_Ashwin_Srinivasan_0001,140,2,-0.19176224,-0.10940522
http://example.org/publication-ontology#author_Asma_Rani,141,3,0.021942712,-0.10622239
http://example.org/publication-ontology#author_Asmaa_Benzmane,142,0,-0.06869065,0.27453673
http://example.org/publication-ontology#author_Assif_Assad,143,3,0.11232738,0.00022870302
http://example.org/publication-ontology#author_Athanassia_Alonistioti,144,3,0.02759809,-0.042090476
http://example.org/publication-ontology#author_Athman_Bouguettaya,145,2,-0.28550383,0.07526195
http://example.org/publication-ontology#author_Atsushi_Mitsui,146,3,0.30048394,-0.058606446
http://example.org/publication-ontology#author_Audrey_Huang,147,2,-0.32430184,0.030486882
http://example.org/publication-ontology#author_Aurel_Machalek,148,0,-0.05895611,0.13763186
http://example.org/publication-ontology#author_Aurghya_Maiti,149,2,-0.32999673,-0.035782337
http://example.org/publication-ontology#author_Aurick_Qiao,150,3,0.20924084,-0.07793796
http://example.org/publication-ontology#author_Avanti_Bhandarkar,151,3,0.18902598,-0.14999646
http://example.org/publication-ontology#author_Aviral_Kumar,152,2,-0.3200079,-0.026707232
http://example.org/publication-ontology#author_Avishek_Joey_Bose,153,3,0.19488329,-0.04738474
http://example.org/publication-ontology#author_Axel_Krieger,154,3,0.065512404,-0.061876535
http://example.org/publication-ontology#author_Aydin_Seer,155,3,0.109501004,-0.14697385
http://example.org/publication-ontology#author_Ayoub_Jadouli,156,3,0.23716073,-0.0527609
http://example.org/publication-ontology#author_Ayu_Purwarianti,157,2,-0.0740656,-0.13033289
http://example.org/publication-ontology#author_Babak_Rahbarinia,158,3,0.23791088,0.10529265
http://example.org/publication-ontology#author_Baiyong_Men,159,0,0.12411326,0.0025033355
